10382.9288071456	-0.0182455562276403	2150	Senior Female
22693.3532242433	-0.0190010480694531	1685	Senior Female
36544.5726152691	-0.0182405016513534	1628	Senior Female
22289.1451394891	-0.0140273250035328	1616	Senior Female
26819.2040960685	-0.00839263825192803	1790	Senior Female
20570.0816681351	-0.0195063306782916	911	Senior Female
20401.561982832	-0.00734299988081301	1763	Senior Female
25491.3921675493	-0.0144965269204341	1214	Senior Female
18100.7391527306	-0.00984248615404844	1545	Senior Female
25513.5338414504	0.00103214861296129	2310	Senior Female
